keyword,intent,old_page_file,old_url,old_title,old_meta_description,duplicated_across_pages,suggested_new_target_page,search_volume_FILL_FROM_SEARCH_ATLAS,keyword_difficulty_FILL_FROM_SEARCH_ATLAS,verdict_after_matrix
quartz countertops,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on gallery-bathroom-cabinetry.html,index.html,,,
bedroom cabinets,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on home-cc.html,index.html,,,
bathroom cabinets,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on about-us.html,index.html,,,
DIY kitchen units,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on gallery-diy-units.html,index.html,,,
complete installation,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on home-cc.html,index.html,,,
pre-assembled wardrobe,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on home-cc.html,index.html,,,
pre-assembled bathroom cabinets,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on home-cc.html,index.html,,,
custom kitchen cabinets,Commercial,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on home-cc.html,index.html,,,
one-stop shop,Transactional,index.html,https://www.cupboardcentre.co.za/home-cc,Cupboard Centre | Nelspruit's Best DIY Cupboard Solutions,MISSING,YES - also on home-cc.html,index.html,,,
Kitchen units,Commercial,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,no,kitchen-units.html,,,
custom cabinets,Commercial,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,YES - also on cart.html,kitchen-units.html,,,
built-in cupboards,Commercial,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,YES - also on about-us.html,kitchen-units.html,,,
DIY kitchen cabinets,Commercial,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,YES - also on gallery-designs-of-kitchen-cupboard.html,kitchen-units.html,,,
kitchen cupboard design,Informational,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,no,kitchen-units.html,,,
kitchen storage,Commercial,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,YES - also on gallery-diy-units.html,kitchen-units.html,,,
cupboard installation,Commercial,kitchen-units.html,https://www.cupboardcentre.co.za/kitchen-units,Kitchen Units | Custom Cabinets & DIY Cupboards,MISSING,YES - also on about-us.html,kitchen-units.html,,,
Melamine doors,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",YES - also on gallery-bathroom-cabinetry.html,melamine-doors-quartz-countertops.html,,,
quartz countertops,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",YES - also on gallery-bathroom-cabinetry.html,melamine-doors-quartz-countertops.html,,,
Eazi quartz,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",YES - also on gallery-bathroom-cabinetry.html,melamine-doors-quartz-countertops.html,,,
flat panel doors,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",YES - also on gallery-designs-of-kitchen-cupboard.html,melamine-doors-quartz-countertops.html,,,
PVC waterproof,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",no,melamine-doors-quartz-countertops.html,,,
cabinet handles,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",no,melamine-doors-quartz-countertops.html,,,
durable countertops,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",no,melamine-doors-quartz-countertops.html,,,
kitchen countertops,Commercial,melamine-doors-quartz-countertops.html,https://www.cupboardcentre.co.za/melamine-doors-quartz-countertops,Melamine Doors & Eazi Quartz Countertops | Affordable Solutions,"Explore durable melamine doors and stunning quartz countertops. Stylish, easy to maintain, and perfect for any modern kitchen or bathroom.",no,melamine-doors-quartz-countertops.html,,,
DIY cupboards,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on cart.html,shop.html,,,
Cupboard Centre Nelspruit,Navigational,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,no,shop.html,,,
pre-assembled cabinets,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,no,shop.html,,,
custom cabinetry,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on about-us.html,shop.html,,,
kitchen units,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on kitchen-units.html,shop.html,,,
melamine doors,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on gallery-bathroom-cabinetry.html,shop.html,,,
quartz countertops,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on gallery-bathroom-cabinetry.html,shop.html,,,
bedroom cabinets,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on home-cc.html,shop.html,,,
bathroom cabinets,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,YES - also on about-us.html,shop.html,,,
storage solutions,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,no,shop.html,,,
home renovation,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,no,shop.html,,,
flat-pack wardrobes,Commercial,shop.html,https://www.cupboardcentre.co.za/shop,Explore DIY Cupboards & Pre-built cabinetry | Cupboard Centre,MISSING,no,shop.html,,,
